stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,location_type,parent_station
L00343,L00343,Brongio - provinciale,"",45.763933,9.311883,300343,0,
L00344,L00344,Galbiate - sala al barro (bivio),"",45.824050,9.356817,300344,0,
L00345,L00345,Civate - la santa (cartiera),"",45.833750,9.350983,300345,0,
L00347,L00347,Dolzago - monumento (scuole),"",45.769200,9.340950,300347,0,
L00349,L00349,Bevera - via lecco,"",45.750167,9.332617,300349,0,
L00350,L00350,Barzano' - Via IV Novembre/Largo Diaz,"",45.735600,9.318930,300350,0,
L00353,L00353,Monticello,"",45.707900,9.315250,300353,0,
L00354,L00354,Casatenovo - via giovenzana,"",45.698690,9.311680,300354,0,
L00361,L00361,Concenedo,"",45.941090,9.479460,300561,0,
L00364,L00364,Barzago - villaggio,"",45.755210,9.314280,300364,0,
L00365,L00365,Suello - pizzeria del ghiaccio,"",45.818150,9.310133,300365,0,
L00367,L00367,Garbagnate - Viale Brianza,"",45.768770,9.304170,300343,0,
