procom_lav,destination_name,workers,n_core_origins,rank,category,share_of_core_resident_workers_pct,cumulative_share_pct
097090,ViganÃ²,35,4,48,OTHER_EXTERNAL,0.399817,81.711218
108039,Seregno,32,5,49,OTHER_EXTERNAL,0.365547,82.076765
015209,Sesto San Giovanni,32,5,50,S8_DIRECT,0.365547,82.442312
108028,Lissone,31,5,51,OTHER_EXTERNAL,0.354124,82.796436
013075,Como,30,5,52,OTHER_EXTERNAL,0.342700,83.139136
016034,Bottanuco,27,5,53,OTHER_EXTERNAL,0.308430,83.447567
097024,Colle Brianza,27,5,54,OTHER_EXTERNAL,0.308430,83.755997
097056,Nibionno,27,5,55,OTHER_EXTERNAL,0.308430,84.064428
097062,Paderno d'Adda,27,5,56,OTHER_EXTERNAL,0.308430,84.372858
016057,Carvico,26,5,57,OTHER_EXTERNAL,0.297007,84.669865
108021,Concorezzo,26,4,58,OTHER_EXTERNAL,0.297007,84.966872
097028,Cremella,26,5,59,OTHER_EXTERNAL,0.297007,85.263879
108047,Veduggio con Colzano,26,5,60,OTHER_EXTERNAL,0.297007,85.560886
016238,Villa d'Adda,26,5,61,OTHER_EXTERNAL,0.297007,85.857894
097017,Cassago Brianza,25,5,62,OTHER_EXTERNAL,0.285584,86.143477
108007,Bernareggio,24,5,63,OTHER_EXTERNAL,0.274160,86.417638
108016,Carnate,24,5,64,S8_DIRECT,0.274160,86.691798
013095,Erba,24,5,65,OTHER_EXTERNAL,0.274160,86.965958
108023,Desio,22,5,66,OTHER_EXTERNAL,0.251314,87.217272
097039,Imbersago,22,5,67,OTHER_EXTERNAL,0.251314,87.468586
108015,Carate Brianza,20,5,68,OTHER_EXTERNAL,0.228467,87.697053
108036,Ornago,20,4,69,OTHER_EXTERNAL,0.228467,87.925520
015077,Cinisello Balsamo,19,4,70,OTHER_EXTERNAL,0.217044,88.142563
016171,Pontida,19,5,71,OTHER_EXTERNAL,0.217044,88.359607
097082,Valgreghentino,19,3,72,OTHER_EXTERNAL,0.217044,88.576651
015205,Segrate,18,5,73,OTHER_EXTERNAL,0.205620,88.782271
097003,Annone di Brianza,17,4,74,OTHER_EXTERNAL,0.194197,88.976468
015051,Carugate,17,4,75,OTHER_EXTERNAL,0.194197,89.170665
097052,Monte Marenzo,17,3,76,OTHER_EXTERNAL,0.194197,89.364862
015070,Cernusco sul Naviglio,16,5,77,OTHER_EXTERNAL,0.182774,89.547635
097022,Civate,16,5,78,OTHER_EXTERNAL,0.182774,89.730409
015011,Assago,15,5,79,OTHER_EXTERNAL,0.171350,89.901759
108006,Bellusco,15,3,80,OTHER_EXTERNAL,0.171350,90.073109
097068,Pescate,15,4,81,OTHER_EXTERNAL,0.171350,90.244460
015221,Trezzo sull'Adda,15,5,82,OTHER_EXTERNAL,0.171350,90.415810
016089,Curno,14,5,83,OTHER_EXTERNAL,0.159927,90.575737
097078,Suello,14,4,84,OTHER_EXTERNAL,0.159927,90.735664
108042,Sulbiate,14,3,85,OTHER_EXTERNAL,0.159927,90.895591
015081,Cologno Monzese,13,4,86,OTHER_EXTERNAL,0.148504,91.044094
108024,Giussano,13,4,87,OTHER_EXTERNAL,0.148504,91.192598
016213,Terno d'Isola,13,4,88,OTHER_EXTERNAL,0.148504,91.341101
108049,Villasanta,13,4,89,OTHER_EXTERNAL,0.148504,91.489605
013136,Lurago d'Erba,12,4,90,OTHER_EXTERNAL,0.137080,91.626685
108013,Burago di Molgora,11,3,91,OTHER_EXTERNAL,0.125657,91.752342
108031,Mezzago,11,4,92,OTHER_EXTERNAL,0.125657,91.877999
013170,Orsenigo,11,4,93,OTHER_EXTERNAL,0.125657,92.003655
