physical_cluster_id,threshold_min,population_reachable_2025,population_denominator_2025,cell_count,gtfs_records_used_as_sources,epistemic_status
EX_037,10,885.3834715358802,22914.0,132,1,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_037,12,1327.8553134482022,22914.0,201,1,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_038,5,611.1228847050195,22914.0,27,1,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_038,8,1588.6307822093524,22914.0,76,1,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_038,10,2162.6235982605185,22914.0,123,1,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_038,12,2708.4679408681386,22914.0,176,1,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_039,5,642.0068595353326,22914.0,27,1,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_039,8,1751.5437262167493,22914.0,82,1,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_039,10,2340.314115861103,22914.0,130,1,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_039,12,3010.7156896025135,22914.0,190,1,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_041,5,222.66866604163403,22914.0,31,1,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_041,8,484.97260330111646,22914.0,58,1,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_041,10,655.3156777136987,22914.0,89,1,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_041,12,998.3152520651599,22914.0,132,1,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_042,5,760.2734627315535,22914.0,36,1,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_042,8,1551.3626491236387,22914.0,81,1,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_042,10,2172.8369456356686,22914.0,133,1,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_042,12,2736.9863417775605,22914.0,191,1,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_043,5,511.839670375868,22914.0,39,1,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_043,8,1128.1556948296634,22914.0,88,1,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_043,10,1596.9568254151445,22914.0,123,1,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_043,12,2407.867588376484,22914.0,187,1,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
