stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code,tts_stop_name
85117,LEC162_85117,"Lecco, Montegrappa/fr. Dei Bravi",,45.86070000000002,9.407075277280805,,,0,,,,,
85124,LEC167_85124,"Lecco, Tonio da Belledo/Turbada",,45.8473,9.4105,,,0,,,,,
86833,LEC304_86833,"Lecco, Cimabue fr. 30",,45.844946,9.408518,,,0,,,,,
84863,LEC176_84863,"Lecco, Della Pergola 58",,45.8425,9.4074,,,0,,,,,
85081,LEC139_85081,"Lecco, C. Alberto 120, Centro Comm.",,45.840708,9.408998,,,0,,,,,
85088,LEC140_85088,"Lecco, Maggianico, Filiberto 6",,45.8387,9.4107,,,0,,,,,
85095,LEC141_85095,"Lecco, Maggianico, Filib./fr. Poncione",,45.8352,9.4116,,,0,,,,,
85096,LEC142_85096,"Lecco, Villa Gomez, Filiberto fr. 61",,45.8333,9.4131,,,0,,,,,
85099,LEC143_85099,"Lecco, Maggianico FS, Filiberto 56",,45.831137,9.414816,,,0,,,,,
85100,LEC144_85100,"Lecco, Maggianico, Filiberto/Fontanella",,45.82969,9.416319,,,0,,,,,
85101,LEC145_85101,"Lecco, Maggianico, Bergamo/De Marchi",,45.8277,9.417,,,0,,,,,
85102,LEC146_85102,"Lecco, Chiuso, Bergamo 60",,45.825088,9.417581,,,0,,,,,
85103,LEC147_85103,"Lecco, Chiuso, Bergamo/Alla Spiaggia",,45.823256,9.41836,,,0,,,,,
85104,LEC148_85104,"Lecco, Chiuso, Bergamo 102",,45.821334,9.418992,,,0,,,,,
85106,LEC149_85106,"Lecco, Chiuso, Bergamo 108",,45.820315,9.419026,,,0,,,,,
84859,LEC101_84859,"Lecco, Chiuso, Bergamo fr. 157",,45.815927,9.420848,,,0,,,,,
85072,VER101_85072,"Vercurago, FS, Roma fr. Municipio",,45.811553,9.424144,,,0,,,,,
85073,VER001_85073,"Vercurago, Roma, Cimitero",,45.8087,9.4236,,,0,,,,,
80369,CAL004_80369,"Calolziocorte, Dante/Industriale",,45.806291,9.425022,,,0,,,,,
85076,CAL003_85076,"Calolziocorte, Mazzini/De Amicis",,45.802998,9.4212785,,,0,,,,,
80471,LEC020_80471,"Lecco, Matteotti/Sora",,45.863639,9.40188,,,0,,,,,
80495,LEC021_80495,"Lecco, Matteotti, Cimitero",,45.862577,9.399924,,,0,,,,,
80334,LEC022_80334,"Lecco, Castello, Pozzi/fr. Rimembran.",,45.861022,9.399032,,,0,,,,,
80470,LEC023_80470,"Lecco, Pozzi, fr. Stadio",,45.858892,9.398902,,,0,,,,,
80465,LEC028_80465,"Lecco, XXI Febbraio/fr. Cantarelli",,45.85686258872793,9.397635186508161,,,0,,,,,
84884,LEC114_84884,"Lecco, C. Alberto/fr. Buozzi",,45.842259,9.403751,,,0,,,,,
80320,LEC115_80320,"Lecco, Pescarenico, C. Alberto/B. Vico",,45.844384,9.400783,,,0,,,,,
84900,LEC116_84900,"Lecco, Pescarenico, Martiri 145",,45.84616,9.398465,,,0,,,,,
84908,LEC117_84908,"Lecco, Pescarenico, Martiri 101",,45.847894,9.396601,,,0,,,,,
80418,LEC007_80418,"Lecco, Matteotti/XXI Febbraio",,45.8586,9.3956,,,0,,,,,
85018,LEC113_85018,"Lecco, C. Alberto/Igualada",,45.842,9.4066,,,0,,,,,
85077,LEC138_85077,"Lecco, Pescarenico, C. Alberto/Guado",,45.8427,9.403,,,0,,,,,
80335,LEC024_80335,"Lecco, Matteotti/fr. Castagnera",,45.858745,9.395707,,,0,,,,,
85015,LEC132_85015,"Lecco, Matteotti/Grassi",,45.85713,9.392869,,,0,,,,,
85063,LEC136_85063,"Lecco, Pescarenico, Martiri/fr. Como",,45.84759,9.396755,,,0,,,,,
80569,LEC137_80569,"Lecco, Pescarenico, Martiri/Corti",,45.845889,9.398597,,,0,,,,,
87211,LEC305_87211,"Lecco, Pescarenico, C. Alberto/Barcaiolo",,45.84429049570984,9.400711676016348,,,0,,,,,
84906,MAL106_84906,"Malgrate, Gaggio, Istituti",,45.8487,9.376,,,0,,,,,
85021,MAL116_85021,"Malgrate, Manzoni 24",,45.846643,9.375475,,,0,,,,,
85022,MAL117_85022,"Malgrate, Delle Primule/Gaggio",,45.8471,9.3729,,,0,,,,,
