budget_suffix,annual_bus_km_cap,max_headway_min,scenario_id,topology_family,public_population_covered_10min,public_population_coverage_share_10min,public_worst_municipality_10min,public_worst_municipality_coverage_share_10min,public_structurally_addressable_od_relation_count,public_structurally_addressable_worker_od_mass_upper_bound,frequency_capability_frontier,service_policy_selected,topology_selected,s8_phase_selected
m10pct,100277.100000,60,P2_506a6bcb3366a0b7,interlined_figure8,6898.365967445059,0.302283613853,Calco,0.104477910587,6,375.000000000,true,false,false,false
m10pct,100277.100000,60,P2_5d10764900c45ae2,interlined_figure8,7357.621406266234,0.322408001916,Calco,0.098383376471,12,567.000000000,true,false,false,false
m10pct,100277.100000,60,P2_5d17f8b044ba61bf,two_independent_loops,7357.621406266234,0.322408001916,Calco,0.098383376471,12,567.000000000,true,false,false,false
m10pct,100277.100000,60,P2_5db7e4c337856731,two_independent_loops,6320.291371175302,0.276952618243,Santa Maria Hoè,0.139038753118,20,1055.000000000,true,false,false,false
m10pct,100277.100000,60,P2_62d3dc4513744f30,two_independent_loops,5779.835525093444,0.253270061091,Santa Maria Hoè,0.063137253657,16,1234.000000000,true,false,false,false
m10pct,100277.100000,60,P2_68d828ceef0540a7,interlined_figure8,4074.169342016629,0.178528457024,Brivio,0.015897834464,25,1735.000000000,true,false,false,false
m10pct,100277.100000,60,P2_6aa0bad7025331b6,single_compact_loop,6029.231541257114,0.264198493911,La Valletta Brianza,0.169393844228,12,567.000000000,true,false,false,false
m10pct,100277.100000,60,P2_778d53c510085764,interlined_figure8,6373.822782299962,0.279298343084,Brivio,0E-12,16,787.000000000,true,false,false,false
m10pct,100277.100000,60,P2_7cf69e51940347ab,two_independent_loops,6373.822782299962,0.279298343084,Brivio,0E-12,16,787.000000000,true,false,false,false
m10pct,100277.100000,60,P2_ad5408ca9497179f,interlined_figure8,8000.006577725643,0.350557060987,La Valletta Brianza,0.011997838656,16,676.000000000,true,false,false,false
m10pct,100277.100000,60,P2_ae7b27c3ff0f84ae,two_independent_loops,8260.415486733327,0.361968074329,Santa Maria Hoè,0E-12,12,753.000000000,true,false,false,false
m10pct,100277.100000,60,P2_b3af627396fc68a3,two_independent_loops,8000.006577725643,0.350557060987,La Valletta Brianza,0.011997838656,16,676.000000000,true,false,false,false
